"Plot Title: 21405905"
"#","Date Time, GMT-02:30","Temp, °C (LGR S/N: 21405905, SEN S/N: 21405905, LBL: Temperature)","Intensity, Lux (LGR S/N: 21405905, SEN S/N: 21405905, LBL: Light)","Coupler Attached (LGR S/N: 21405905)","Host Connected (LGR S/N: 21405905)","Stopped (LGR S/N: 21405905)","End Of File (LGR S/N: 21405905)"
1,06/14/23 09:00:00  AM,8.680,12400.1,,,,
2,06/14/23 09:10:00  AM,10.846,9300.1,,,,
3,06/14/23 09:20:00  AM,11.528,8611.2,,,,
4,06/14/23 09:30:00  AM,12.883,13089.0,,,,
5,06/14/23 09:40:00  AM,15.378,14466.8,,,,
6,06/14/23 09:50:00  AM,17.665,14466.8,,,,
7,06/14/23 10:00:00  AM,19.187,14466.8,,,,
8,06/14/23 10:10:00  AM,20.710,14466.8,,,,
9,06/14/23 10:20:00  AM,21.951,14466.8,,,,
10,06/14/23 10:30:00  AM,22.908,14466.8,,,,
11,06/14/23 10:40:00  AM,23.966,15155.7,,,,
12,06/14/23 10:50:00  AM,24.835,15155.7,,,,
13,06/14/23 11:00:00  AM,25.416,15844.5,,,,
14,06/14/23 11:10:00  AM,24.835,0.0,,,,
15,06/14/23 11:20:00  AM,22.812,0.0,,,,
16,06/14/23 11:30:00  AM,21.951,0.0,,,,
17,06/14/23 11:40:00  AM,21.664,0.0,,,,
18,06/14/23 11:50:00  AM,21.569,0.0,,,,
19,06/14/23 12:00:00  PM,21.569,0.0,,,,
20,06/14/23 12:10:00  PM,21.664,0.0,,,,
21,06/14/23 12:20:00  PM,21.664,0.0,,,,
22,06/14/23 12:30:00  PM,21.569,0.0,,,,
23,06/14/23 12:40:00  PM,21.569,0.0,,,,
24,06/14/23 12:50:00  PM,21.664,0.0,,,,
25,06/14/23 01:00:00  PM,21.951,0.0,,,,
26,06/14/23 01:10:00  PM,22.238,0.0,,,,
27,06/14/23 01:20:00  PM,22.621,0.0,,,,
28,06/14/23 01:30:00  PM,23.100,0.0,,,,
29,06/14/23 01:40:00  PM,23.484,0.0,,,,
30,06/14/23 01:50:00  PM,23.966,0.0,,,,
31,06/14/23 02:00:00  PM,24.545,0.0,,,,
32,06/14/23 02:10:00  PM,24.931,0.0,,,,
33,06/14/23 02:20:00  PM,25.125,0.0,,,,
34,06/14/23 02:30:00  PM,24.835,0.0,,,,
35,06/14/23 02:40:00  PM,24.641,0.0,,,,
36,06/14/23 02:50:00  PM,24.641,0.0,,,,
